Varenr.,Beskrivelse,GTIN
000-K11152,Topplate for oppvaskmaskinløsning 600 x 480 x 30mm,5707438981271
000-K11154,Topplate for oppvaskmaskinløsning 600 x 480 x 19mm,5707438310798
000-K11157,Topplate for oppvaskmaskinløsning 600 x 480 x 22mm,5707438963413
000-K11159,"Bunn og topp uten boring 567,5 x 558,6 x 16mm",5707438899491
000-K11162,"Bunn og topp 767,5 x 318,6 x 19 mm",5707439073289
000-K11165,"Bunn og topp 767,5 x 318,6 x 16 mm",5707438021045
000-K11169,"Bunnboret for 2 spotlights 767,5 x 318,6 x 19 mm",5707438563910
000-K11170,"Bunn og topp 567,5 x 318,6 x 16 mm",5707438021083
000-K11172,"Bunnboret for punkt 567,5 x 318,6 x 16mm",5707438404152
000-K11175,"Bunn og topp 467,5 x 318,6 x 16 mm",5707438021120
000-K11177,"Bunnboret for punkt 467,5 x 318,6 x 16mm",5707438404169
000-K11180,"Bunn og topp 367,5 x 318,6 x 16 mm",5707438021168
000-K11182,"Bunnboret for punkt 367,5 x 318,6 x 16mm",5707438464736
000-K12110,"Bord uten boring 967 x 537,5 x 16mm",5707438007438
000-K12115,"Bord uten boring 767 x 537,5 x 16mm",5707438007445
000-K12120,"Bord uten boring 567 x 537,5 x 16mm",5707438007452
000-K12121,"Byggetavle for kjøleskap 717,5 x 513,6 x 19m",5707439068216
000-K12122,"Byggetavle for kjøleskap 567,5 x 513,6 x 16m",5707438007469
000-K12123,"Byggetavle for kjøleskap 567,5 x 500,6 x 19m",5707438068491
000-K12124,"Byggeplank 567,5 x 524,5 x 19mm",5707438191137
000-K12125,"Bord uten boring 467 x 537,5 x 16mm",5707438007476
000-K12126,"Byggeplank 367,5 x 524,5 x 19mm",5707438245700
000-K12127,"Byggeplank 467,5 x 524,5 x 19mm",5707438573056
000-K12128,"Byggeplank 767,5 x 524,5 x 19mm",5707438957801
000-K12129,"Byggeplank 967,5 x 524,5 x 19mm",5707438957818
000-K12130,"Bord uten boring 367 x 537,5 x 16mm",5707438007483
000-K12135,"Bord uten boring 267 x 537,5 x 16mm",5707438007490
